,Unnamed: 0,Zestimate,Price,Rent Zestimate,Days On Zillow,Bathrooms,Bedrooms,Living Area,Home Type,Street Address,Zip,statusType,Mortgage,HOA,Zip_code,Violent_crime,Property_Crime,quality,commute_time,free_lunch,total_schools
371,371,1366926.0,1299000,3504.0,10,2.0,3.0,1761.0,SINGLE_FAMILY,506 S 15th St,95112,FOR_SALE,37544.9008,465,95112,43,54,Below Average,22.7,77.2,100.0
372,372,946200.0,918888,3063.0,11,1.0,2.0,1036.0,SINGLE_FAMILY,345 N 18th St,95112,FOR_SALE,25988.960000000006,426,95126,32,45,Below Average,22.7,77.2,100.0
373,373,988200.0,875000,3329.0,0,1.0,3.0,1210.0,SINGLE_FAMILY,1323 Forrestal Ave,95110,FOR_SALE,27142.56,352,95110,43,53,Below Average,21.8,76.4,100.0
374,374,990582.0,935000,3329.0,4,1.0,3.0,1202.0,SINGLE_FAMILY,1394 Forrestal Ave,95110,FOR_SALE,27207.9856,548,95112,43,54,Below Average,21.8,76.4,100.0
375,375,1237494.0,1199900,3617.0,9,3.0,3.0,1992.0,SINGLE_FAMILY,645 N 19th St,95112,FOR_SALE,33989.8352,494,95116,47,56,Below Average,22.7,77.2,100.0
376,376,1244542.0,1195000,3668.0,12,2.0,3.0,1964.0,SINGLE_FAMILY,412 N 2nd St,95112,FOR_SALE,34183.42026666667,509,95126,32,45,Below Average,22.7,77.2,100.0
377,377,918977.0,899000,3266.0,12,2.0,2.0,1450.0,TOWNHOUSE,285 E Saint James St APT 1,95112,FOR_SALE,25241.23493333333,481,95122,39,49,Below Average,22.7,77.2,100.0
378,378,1142413.0,1100000,3164.0,16,3.0,3.0,2236.0,SINGLE_FAMILY,132 N 16th St,95112,FOR_SALE,31378.27706666667,503,95112,43,54,Below Average,22.7,77.2,100.0
379,379,,10050000,1775.0,17,,,29776.0,MULTI_FAMILY,51 S 19th St,95116,FOR_SALE,,449,95110,43,53,Below Average,24.4,84.7,100.0
380,380,1001978.0,949000,3364.0,18,1.0,2.0,1198.0,SINGLE_FAMILY,715 N 5th St,95112,FOR_SALE,27520.99573333333,400,95112,43,54,Below Average,22.7,77.2,100.0
381,381,,1850000,1726.0,19,,,3096.0,MULTI_FAMILY,139 N 6th St APT 6,95112,FOR_SALE,,514,95110,43,53,Below Average,22.7,77.2,100.0
382,382,1017700.0,957000,,22,2.0,2.0,1135.0,CONDO,188 W Saint James St #10504,95110,FOR_SALE,27952.82666666667,364,95110,43,53,Below Average,21.8,76.4,100.0
